80,210-3,2016/09/03,Locked,,1036,0,
80,210-3,2016/09/03,ScreenSaverEngine.app,5.0,39,40,
80,210-3,2016/09/03,Finder.app,10.10.5,20,60,
80,210-3,2016/09/03,loginwindow.app,10.4,1,60,
81,210-2,2016/10/11,Finder.app,10.10.5,533,589,
81,210-2,2016/10/11,Locked,,59,0,
81,210-2,2016/10/11,Safari.app,9.1.3,52,582,
81,210-2,2016/10/11,TextEdit.app,1.10,1,60,
81,210-2,2016/10/11,System Preferences.app,14.0,1,530,
81,210-2,2016/10/10,Java Updater.app,1.0,1691,1449,
81,210-2,2016/10/10,Locked,,501,0,
81,210-2,2016/10/10,Google Chrome.app,37.0.2062.94,103,1449,
81,210-2,2016/10/10,Microsoft AutoUpdate.app,3.5.16050600,66,1443,
81,210-2,2016/10/10,Finder.app,10.10.5,53,1449,
81,210-2,2016/10/10,Final Cut Pro.app,10.2.2,46,1416,
81,210-2,2016/10/10,Safari.app,9.1.3,5,1446,
81,210-2,2016/10/10,ScreenSaverEngine.app,5.0,3,1449,
81,210-2,2016/10/10,QuickTime Player.app,10.4,2,1448,
81,210-2,2016/10/10,Preview.app,8.0,1,1449,
81,210-2,2016/10/10,Compressor.app,4.2.2,1,1415,
81,210-2,2016/10/09,Locked,,1440,0,
81,210-2,2016/10/08,Microsoft AutoUpdate.app,3.5.16050600,1373,2536,
81,210-2,2016/10/08,Locked,,221,0,
81,210-2,2016/10/07,Google Chrome.app,37.0.2062.94,509,1449,
81,210-2,2016/10/07,Finder.app,10.10.5,424,1449,
81,210-2,2016/10/07,Locked,,155,0,
81,210-2,2016/10/07,ScreenSaverEngine.app,5.0,1,1449,
81,210-2,2016/10/06,Microsoft Word.app,15.24.16070900,730,1449,
81,210-2,2016/10/06,Microsoft AutoUpdate.app,3.5.16050600,247,1338,
81,210-2,2016/10/06,Locked,,229,0,
81,210-2,2016/10/06,Google Chrome.app,37.0.2062.94,57,1449,
81,210-2,2016/10/06,Finder.app,10.10.5,38,1449,
81,210-2,2016/10/06,Final Cut Pro.app,10.2.2,26,1146,
81,210-2,2016/10/06,Final Cut Pro.app,10.2.2,5,1460,
81,210-2,2016/10/06,QuickTime Player.app,10.4,2,1171,
81,210-2,2016/10/06,Installer.app,6.1.0,1,1091,
81,210-2,2016/10/06,TMHelperAgent.app,10.9,1,98,
81,210-2,2016/10/06,UnmountAssistantAgent.app,5.0,1,118,
81,210-2,2016/10/06,ScreenSaverEngine.app,5.0,1,1449,
81,210-2,2016/10/05,Locked,,481,0,
81,210-2,2016/10/05,Finder.app,10.10.5,447,1449,
81,210-2,2016/10/05,Microsoft AutoUpdate.app,3.5.16050600,403,1449,
81,210-2,2016/10/05,Microsoft Word.app,15.24.16070900,108,1449,
81,210-2,2016/10/05,Safari.app,9.1.3,65,1449,
81,210-2,2016/10/05,Mail.app,8.2,1,1450,
81,210-2,2016/10/05,ScreenSaverEngine.app,5.0,1,1449,
81,210-2,2016/10/04,Locked,,646,0,
81,210-2,2016/10/04,Finder.app,10.10.5,514,1449,
81,210-2,2016/10/04,Google Chrome.app,37.0.2062.94,149,1449,
81,210-2,2016/10/04,Droplet.app,4.2.2,1,811,
81,210-2,2016/10/04,QuickTime Player.app,10.4,1,793,
81,210-2,2016/10/04,Preview.app,8.0,1,1398,
81,210-2,2016/10/04,Compressor.app,4.2.2,1,1353,
81,210-2,2016/10/03,Java Updater.app,1.0,1691,1449,
81,210-2,2016/10/03,Microsoft AutoUpdate.app,3.5.16050600,1197,1337,
81,210-2,2016/10/03,Locked,,451,0,
81,210-2,2016/10/03,Finder.app,10.10.5,50,1449,
81,210-2,2016/10/03,Final Cut Pro.app,10.2.2,36,1405,
81,210-2,2016/10/03,QuickTime Player.app,10.4,14,1297,
81,210-2,2016/10/03,Google Chrome.app,37.0.2062.94,5,1449,
81,210-2,2016/10/03,Compressor.app,4.2.2,2,1352,
81,210-2,2016/10/03,Photos.app,1.0.1,1,1450,
81,210-2,2016/10/03,Installer.app,6.1.0,1,1300,
81,210-2,2016/10/03,SecurityAgent.xpc,9.0,1,1449,
81,210-2,2016/10/03,TextWrangler.app,4.5.11,1,265,
81,210-2,2016/10/03,NetAuthAgent.app,5.2,1,66,
81,210-2,2016/10/03,iTunes.app,12.4.3,1,1387,
81,210-2,2016/10/03,Photos.app,1.0.1,1,1349,
81,210-2,2016/10/02,Locked,,1440,0,
81,210-2,2016/10/01,Locked,,1193,0,
81,210-2,2016/10/01,Finder.app,10.10.5,611,1686,
81,210-2,2016/10/01,Microsoft AutoUpdate.app,3.5.16050600,1,1686,
81,210-2,2016/09/30,Finder.app,10.10.5,698,1449,
81,210-2,2016/09/30,Locked,,365,0,
81,210-2,2016/09/29,Microsoft AutoUpdate.app,3.5.16050600,587,1429,
81,210-2,2016/09/29,Google Chrome.app,37.0.2062.94,540,1449,
81,210-2,2016/09/29,Locked,,163,0,
81,210-2,2016/09/29,Finder.app,10.10.5,41,1449,
81,210-2,2016/09/29,ScreenSaverEngine.app,5.0,24,1449,
81,210-2,2016/09/29,Safari.app,9.1.3,1,1425,
81,210-2,2016/09/29,QuickTime Player.app,10.4,1,1449,
81,210-2,2016/09/28,Finder.app,10.10.5,643,1449,
81,210-2,2016/09/28,Locked,,476,0,
81,210-2,2016/09/28,Microsoft Word.app,15.24.16070900,85,1449,
81,210-2,2016/09/28,Google Chrome.app,37.0.2062.94,24,1449,
81,210-2,2016/09/28,ScreenSaverEngine.app,5.0,1,1449,
81,210-2,2016/09/28,Microsoft AutoUpdate.app,3.5.16050600,1,1339,
81,210-2,2016/09/27,Finder.app,10.10.5,944,1449,
81,210-2,2016/09/27,Locked,,370,0,
81,210-2,2016/09/27,Final Cut Pro.app,10.2.2,175,744,
81,210-2,2016/09/27,QuickTime Player.app,10.4,10,1333,
81,210-2,2016/09/27,Safari.app,9.1.3,3,1070,
81,210-2,2016/09/27,QuickTime Player.app,10.4,2,1452,
81,210-2,2016/09/27,Final Cut Pro.app,10.2.2,1,1556,
81,210-2,2016/09/27,Photos.app,1.0.1,1,1450,
81,210-2,2016/09/27,ScreenSaverEngine.app,5.0,1,1449,
81,210-2,2016/09/27,iTunes.app,12.4.3,1,1360,
81,210-2,2016/09/27,Photos.app,1.0.1,1,727,
81,210-2,2016/09/26,Java Updater.app,1.0,1691,1449,
81,210-2,2016/09/26,Microsoft AutoUpdate.app,3.5.16050600,1156,1440,
81,210-2,2016/09/26,Locked,,714,0,
81,210-2,2016/09/26,Finder.app,10.10.5,107,1449,
81,210-2,2016/09/26,Google Chrome.app,37.0.2062.94,8,1449,
81,210-2,2016/09/26,Compressor.app,4.2.2,1,1450,
81,210-2,2016/09/26,Compressor.app,4.2.2,1,753,
81,210-2,2016/09/25,Locked,,1440,0,
81,210-2,2016/09/24,Locked,,1378,0,
81,210-2,2016/09/24,Finder.app,10.10.5,182,1501,
81,210-2,2016/09/24,java,n/a,1,122,
81,210-2,2016/09/23,Finder.app,10.10.5,756,1449,
81,210-2,2016/09/23,Locked,,121,0,
81,210-2,2016/09/23,Safari.app,9.1.3,26,1449,
